score date Name1 Name2
62 1645209775 Andras Reichardt
65 1645209940 Andras Reichardt
83 1645210426 Andras Reichardt
45 1645210770 Andras Reichardt
71 1645210905 Andras Reichardt
71 1645219900 Andras Reichardt
74 1645220208 Andras Reichardt
61 1645220358 Andras Reichardt
84 1645253584 Andras Reichardt
65 1645253832 Andras Reichardt
62 1645253901 Andras Reichardt
58 1645254078 Andras Reichardt
71 1645254153 Andras Reichardt
64 1645254458 Andras Reichardt
68 1645257815 Andras Reichardt
56 1645257874 Andras Reichardt
70 1645257960 Andras Reichardt
62 1645258090 Andras Reichardt
73 1645258457 Andras Reichardt
63 1645258636 Andras Reichardt
64 1645258703 Andras Reichardt
63 1645258785 Andras Reichardt
65 1645307034 Andras Reichardt
56 1645307195 Andras Reichardt
59 1645307262 Andras Reichardt
86 1645307362 Andras Reichardt
67 1645308842 Andras Reichardt
61 1645308906 Andras Reichardt
69 1645309156 Andras Reichardt
76 1645309244 Andras Reichardt
67 1645309317 Andras Reichardt
61 1645309381 Andras Reichardt
65 1645330046 Andras Reichardt
79 1645330136 Andras Reichardt
95 1645330568 Andras Reichardt
60 1645330746 Andras Reichardt
66 1645330820 Andras Reichardt
76 1645331019 Andras Reichardt
102 1645331133 Andras Reichardt
77 1645331337 Andras Reichardt
80 1645331559 Andras Reichardt
80 1645358325 Andras Reichardt
57 1645358521 Andras Reichardt
71 1645359197 Andras Reichardt
72 1645359442 Andras Reichardt
54 1645359543 Andras Reichardt
71 1645360532 Andras Reichardt
64 1645360650 Andras Reichardt
97 1645362403 Andras Reichardt
65 1645362472 Andras Reichardt
56 1645362532 Andras Reichardt
54 1645362921 Andras Reichardt
101 1645367622 Andras Reichardt
75 1645367788 Andras Reichardt
78 1645367869 Andras Reichardt
78 1645368440 Andras Reichardt
67 1645368512 Andras Reichardt
72 1645368742 Andras Reichardt
108 1645369090 Andras Reichardt
96 1645390202 Andras Reichardt
61 1645391546 Andras Reichardt
85 1645391641 Andras Reichardt
65 1645391839 Andras Reichardt
